match_id,date,stage_id,team_id,opponent_id,goals_for,goals_against,xg,xg_against,result_type,is_home,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,data_source,team_name,confederation,opponent_name,stage_name,is_knockout,result,win,outcome,opp_own_goals,goals_from_play,conversion_rate
1,2026-06-11,1,1,2,2,0,1.84,0.52,Regular,1,57,16,4,6,11,2,1,fifa.com,Mexico,CONCACAF,South Africa,Group Stage,False,W,1,Win,0,2,12.5
2,2026-06-11,1,3,4,2,1,1.45,1.12,Regular,1,54,12,5,4,10,1,2,sofascore.com,South Korea,AFC,Czechia,Group Stage,False,W,1,Win,0,2,16.666666666666664
3,2026-06-12,1,5,6,1,1,1.35,0.98,Regular,1,52,13,4,9,12,2,3,fifa.com,Canada,CONCACAF,Bosnia and Herzegovina,Group Stage,False,D,0,Not win,0,1,7.6923076923076925
4,2026-06-12,1,13,14,4,1,2.76,0.88,Regular,1,59,16,6,3,13,2,1,fifa.com,USA,CONCACAF,Paraguay,Group Stage,False,W,1,Win,1,3,18.75
5,2026-06-13,1,7,8,1,1,0.78,1.54,Regular,1,28,6,3,3,12,1,4,fifa.com,Qatar,AFC,Switzerland,Group Stage,False,D,0,Not win,1,0,0.0
6,2026-06-13,1,9,10,1,1,1.62,1.1,Regular,1,55,12,5,6,16,0,3,fifa.com,Brazil,CONMEBOL,Morocco,Group Stage,False,D,0,Not win,0,1,8.333333333333332
7,2026-06-13,1,11,12,0,1,1.25,0.65,Regular,1,44,14,1,5,12,2,5,sofascore.com,Haiti,CONCACAF,Scotland,Group Stage,False,L,0,Not win,0,0,0.0
8,2026-06-13,1,15,16,2,0,1.48,0.72,Regular,1,27,9,4,5,12,1,2,fifa.com,Australia,AFC,Türkiye,Group Stage,False,W,1,Win,0,2,22.22222222222222
9,2026-06-14,1,17,18,7,1,4.82,0.44,Regular,1,63,25,12,8,10,1,1,sofascore.com,Germany,UEFA,Curaçao,Group Stage,False,W,1,Win,0,7,28.000000000000004
10,2026-06-14,1,21,22,2,2,1.95,1.82,Regular,1,61,10,5,5,7,2,3,fifa.com,Netherlands,UEFA,Japan,Group Stage,False,D,0,Not win,0,2,20.0
11,2026-06-14,1,19,20,1,0,1.1,0.95,Regular,1,41,15,4,3,12,2,3,fifa.com,Côte d'Ivoire,CAF,Ecuador,Group Stage,False,W,1,Win,0,1,6.666666666666667
12,2026-06-14,1,23,24,5,1,3.12,0.78,Regular,1,49,13,7,4,10,3,1,fifa.com,Sweden,UEFA,Tunisia,Group Stage,False,W,1,Win,0,5,38.46153846153847
13,2026-06-15,1,29,30,0,0,2.15,0.35,Regular,1,74,23,8,11,10,2,6,fifa.com,Spain,UEFA,Cabo Verde,Group Stage,False,D,0,Not win,0,0,0.0
14,2026-06-15,1,25,26,1,1,1.58,1.12,Regular,1,57,15,3,2,15,0,2,fifa.com,Belgium,UEFA,Egypt,Group Stage,False,D,0,Not win,1,0,0.0
15,2026-06-15,1,31,32,1,1,0.85,1.76,Regular,1,27,7,3,4,11,2,8,fifa.com,Saudi Arabia,AFC,Uruguay,Group Stage,False,D,0,Not win,0,1,14.285714285714285
16,2026-06-15,1,27,28,2,2,1.88,1.2,Regular,1,43,17,4,4,10,2,5,fifa.com,IR Iran,AFC,New Zealand,Group Stage,False,D,0,Not win,0,2,11.76470588235294
17,2026-06-16,1,33,34,3,1,2.44,1.05,Regular,1,49,11,8,6,5,2,2,fifa.com,France,UEFA,Senegal,Group Stage,False,W,1,Win,0,3,27.27272727272727
18,2026-06-16,1,35,36,1,4,0.68,2.85,Regular,1,34,11,1,5,12,1,7,fifa.com,Iraq,AFC,Norway,Group Stage,False,L,0,Not win,0,1,9.090909090909092
19,2026-06-16,1,37,38,3,0,2.65,0.42,Regular,1,49,10,6,2,13,3,1,fifa.com,Argentina,CONMEBOL,Algeria,Group Stage,False,W,1,Win,0,3,30.0
20,2026-06-16,1,39,40,3,1,1.98,0.88,Regular,1,53,10,4,4,12,3,1,fifa.com,Austria,UEFA,Jordan,Group Stage,False,W,1,Win,1,2,20.0
21,2026-06-17,1,41,42,1,1,1.78,1.15,Regular,1,68,7,1,5,9,3,5,fifa.com,Portugal,UEFA,Congo DR,Group Stage,False,D,0,Not win,0,1,14.285714285714285
22,2026-06-17,1,45,46,4,2,2.92,1.64,Regular,1,48,22,11,8,10,2,4,fifa.com,England,UEFA,Croatia,Group Stage,False,W,1,Win,0,4,18.181818181818183
23,2026-06-17,1,47,48,1,0,1.3,0.75,Regular,1,35,7,2,2,9,1,5,fifa.com,Ghana,CAF,Panama,Group Stage,False,W,1,Win,0,1,14.285714285714285
24,2026-06-17,1,43,44,1,3,0.95,2.1,Regular,1,33,8,2,3,14,2,6,fifa.com,Uzbekistan,AFC,Colombia,Group Stage,False,L,0,Not win,0,1,12.5
25,2026-06-18,1,1,3,1,0,1.62,0.58,Regular,1,49,8,4,0,9,1,2,fifa.com,Mexico,CONCACAF,South Korea,Group Stage,False,W,1,Win,0,1,12.5
26,2026-06-18,1,4,2,1,1,1.35,1.15,Regular,1,32,14,3,5,12,1,3,fifa.com,Czechia,UEFA,South Africa,Group Stage,False,D,0,Not win,0,1,7.142857142857142
27,2026-06-18,1,5,7,6,0,3.82,0.22,Regular,1,65,33,11,19,9,3,0,fifa.com,Canada,CONCACAF,Qatar,Group Stage,False,W,1,Win,1,5,15.151515151515152
28,2026-06-18,1,8,6,4,1,2.45,0.88,Regular,1,57,13,7,7,7,2,1,fifa.com,Switzerland,UEFA,Bosnia and Herzegovina,Group Stage,False,W,1,Win,0,4,30.76923076923077
29,2026-06-19,1,9,11,3,0,1.16,0.9,Regular,1,59,14,6,5,10,2,0,sofascore.com,Brazil,CONMEBOL,Haiti,Group Stage,False,W,1,Win,0,3,21.428571428571427
30,2026-06-19,1,12,10,0,1,0.97,0.54,Regular,1,41,6,0,2,12,1,2,sofascore.com,Scotland,UEFA,Morocco,Group Stage,False,L,0,Not win,0,0,0.0
31,2026-06-19,1,13,15,2,0,1.21,0.32,Regular,1,55,10,2,7,12,1,1,fifa.com,USA,CONCACAF,Australia,Group Stage,False,W,1,Win,1,1,10.0
32,2026-06-19,1,16,14,0,1,0.4,0.3,Regular,1,67,32,5,12,14,2,2,fifa.com,Türkiye,UEFA,Paraguay,Group Stage,False,L,0,Not win,0,0,0.0
33,2026-06-20,1,17,19,2,1,1.85,0.72,Regular,1,59,16,8,8,7,1,2,fifa.com,Germany,UEFA,Côte d'Ivoire,Group Stage,False,W,1,Win,0,2,12.5
34,2026-06-20,1,20,18,0,0,1.92,0.08,Regular,1,63,28,15,9,12,0,15,fifa.com,Ecuador,CONMEBOL,Curaçao,Group Stage,False,D,0,Not win,0,0,0.0
35,2026-06-20,1,21,23,5,1,3.45,0.88,Regular,1,48,10,7,7,11,2,2,fifa.com,Netherlands,UEFA,Sweden,Group Stage,False,W,1,Win,0,5,50.0
36,2026-06-20,1,24,22,0,4,0.35,3.12,Regular,1,38,3,1,3,8,2,1,fifa.com,Tunisia,CAF,Japan,Group Stage,False,L,0,Not win,0,0,0.0
37,2026-06-21,1,25,27,0,0,1.45,0.62,Regular,1,59,23,8,4,7,1,2,fifa.com,Belgium,UEFA,IR Iran,Group Stage,False,D,0,Not win,0,0,0.0
38,2026-06-21,1,28,26,1,3,0.55,2.15,Regular,1,39,11,3,4,14,2,4,fifa.com,New Zealand,OFC,Egypt,Group Stage,False,L,0,Not win,0,1,9.090909090909092
39,2026-06-21,1,29,31,4,0,3.28,0.25,Regular,1,67,18,8,6,6,3,1,fifa.com,Spain,UEFA,Saudi Arabia,Group Stage,False,W,1,Win,1,3,16.666666666666664
40,2026-06-21,1,32,30,2,2,1.65,1.1,Regular,1,65,17,7,11,11,2,2,fifa.com,Uruguay,CONMEBOL,Cabo Verde,Group Stage,False,D,0,Not win,0,2,11.76470588235294
41,2026-06-22,1,33,35,3,0,2.21,0.45,Regular,1,56,19,5,4,8,2,0,fifa.com,France,UEFA,Iraq,Group Stage,False,W,1,Win,0,3,15.789473684210526
42,2026-06-22,1,36,34,3,2,1.95,1.48,Regular,1,52,12,6,5,13,1,2,fifa.com,Norway,UEFA,Senegal,Group Stage,False,W,1,Win,0,3,25.0
43,2026-06-22,1,37,39,2,0,1.78,0.55,Regular,1,54,12,5,1,13,2,1,fifa.com,Argentina,CONMEBOL,Austria,Group Stage,False,W,1,Win,0,2,16.666666666666664
44,2026-06-22,1,40,38,1,2,0.88,1.92,Regular,1,29,6,2,2,12,1,4,fifa.com,Jordan,AFC,Algeria,Group Stage,False,L,0,Not win,0,1,16.666666666666664
45,2026-06-23,1,41,43,5,0,3.54,0.42,Regular,1,62,18,8,7,10,1,1,fifa.com,Portugal,UEFA,Uzbekistan,Group Stage,False,W,1,Win,1,4,22.22222222222222
46,2026-06-23,1,44,42,1,0,1.62,0.58,Regular,1,58,14,4,5,11,2,2,fifa.com,Colombia,CONMEBOL,Congo DR,Group Stage,False,W,1,Win,0,1,7.142857142857142
47,2026-06-23,1,45,47,0,0,1.12,0.89,Regular,1,59,11,3,6,8,2,2,fifa.com,England,UEFA,Ghana,Group Stage,False,D,0,Not win,0,0,0.0
48,2026-06-23,1,48,46,0,1,0.42,1.48,Regular,1,44,7,1,2,14,2,3,fifa.com,Panama,CONCACAF,Croatia,Group Stage,False,L,0,Not win,0,0,0.0
49,2026-06-24,1,4,1,0,3,1.1,1.27,Regular,1,50,13,1,5,9,2,2,sofascore.com,Czechia,UEFA,Mexico,Group Stage,False,L,0,Not win,0,0,0.0
50,2026-06-24,1,2,3,1,0,1.26,1.39,Regular,1,32,13,4,3,12,1,3,fifa.com,South Africa,CAF,South Korea,Group Stage,False,W,1,Win,0,1,7.6923076923076925
51,2026-06-24,1,8,5,2,1,0.71,1.35,Regular,1,55,6,4,2,15,0,6,fifa.com,Switzerland,UEFA,Canada,Group Stage,False,W,1,Win,0,2,33.33333333333333
52,2026-06-24,1,6,7,3,1,1.48,0.95,Regular,1,54,14,5,5,9,1,2,fifa.com,Bosnia and Herzegovina,UEFA,Qatar,Group Stage,False,W,1,Win,1,2,14.285714285714285
53,2026-06-25,1,12,9,0,3,0.45,2.18,Regular,1,35,6,2,2,12,1,6,sofascore.com,Scotland,UEFA,Brazil,Group Stage,False,L,0,Not win,0,0,0.0
54,2026-06-25,1,10,11,4,2,2.35,1.12,Regular,1,62,21,9,7,10,3,3,sofascore.com,Morocco,CAF,Haiti,Group Stage,False,W,1,Win,0,4,19.047619047619047
55,2026-06-25,1,16,13,3,2,1.62,1.45,Regular,1,48,14,7,4,11,2,3,sofascore.com,Türkiye,UEFA,USA,Group Stage,False,W,1,Win,0,3,21.428571428571427
56,2026-06-25,1,14,15,0,0,0.55,0.48,Regular,1,44,8,2,1,9,0,6,fifa.com,Paraguay,CONMEBOL,Australia,Group Stage,False,D,0,Not win,0,0,0.0
57,2026-06-26,1,20,17,2,1,1.28,1.55,Regular,1,44,11,5,3,13,1,6,sofascore.com,Ecuador,CONMEBOL,Germany,Group Stage,False,W,1,Win,0,2,18.181818181818183
58,2026-06-26,1,18,19,0,2,0.32,1.68,Regular,1,41,7,2,2,14,1,5,sofascore.com,Curaçao,CONCACAF,Côte d'Ivoire,Group Stage,False,L,0,Not win,0,0,0.0
59,2026-06-26,1,24,21,1,3,0.62,2.15,Regular,1,38,8,3,2,12,1,6,sofascore.com,Tunisia,CAF,Netherlands,Group Stage,False,L,0,Not win,0,1,12.5
60,2026-06-26,1,22,23,1,1,1.12,0.95,Regular,1,51,13,5,5,9,2,3,sofascore.com,Japan,AFC,Sweden,Group Stage,False,D,0,Not win,0,1,7.6923076923076925
61,2026-06-27,1,28,25,1,5,0.48,3.25,Regular,1,35,6,2,2,10,1,7,sofascore.com,New Zealand,OFC,Belgium,Group Stage,False,L,0,Not win,0,1,16.666666666666664
62,2026-06-27,1,26,27,1,1,0.85,0.92,Regular,1,47,11,4,4,12,1,3,sofascore.com,Egypt,CAF,IR Iran,Group Stage,False,D,0,Not win,0,1,9.090909090909092
63,2026-06-27,1,32,29,0,1,0.78,1.35,Regular,1,42,10,3,3,13,2,5,sofascore.com,Uruguay,CONMEBOL,Spain,Group Stage,False,L,0,Not win,0,0,0.0
64,2026-06-27,1,30,31,0,0,0.42,0.38,Regular,1,51,15,3,4,10,2,3,fifa.com,Cabo Verde,CAF,Saudi Arabia,Group Stage,False,D,0,Not win,0,0,0.0
65,2026-06-26,1,36,33,1,4,1.3,0.96,Regular,1,47,9,5,3,8,0,4,sofascore.com,Norway,UEFA,France,Group Stage,False,L,0,Not win,0,1,11.11111111111111
66,2026-06-26,1,34,35,5,0,3.01,0.14,Regular,1,69,28,12,12,10,1,1,sofascore.com,Senegal,CAF,Iraq,Group Stage,False,W,1,Win,0,5,17.857142857142858
